Month,County,IPC3plus_Pop,IPC3plus_Fraction,Maize_Price,Bean_Price,Rainfall,Rainfall_Anomaly
2022-02,Turkana,370791,0.13333333333333333,60.0,105.38,63.54352022222223,133.98615944444447
2022-02,Wajir,273442,0.11666666666666665,67.5,130.0,47.510747288888886,122.51736444444444
2022-02,West Pokot,31062,0.016666666666666666,2898.0,7040.25,146.76058308333333,102.68744166666667
2022-03,Baringo,300052,0.15,3150.0,8400.0,184.792230125,122.51782580555556
2022-03,Embu,27236,0.03333333333333333,3150.0,8077.5,114.86526695277777,106.61702869444446
2022-03,Garissa,336541,0.13333333333333333,3660.0,8077.5,65.68231526111111,84.94026677777778
2022-03,Isiolo,134001,0.16666666666666666,3150.0,8077.5,28.278380778888888,96.03484755555556
2022-03,Kajiado,111784,0.03333333333333333,3150.0,8077.5,61.41549728333334,120.76865077777776
2022-03,Kilifi,145379,0.03333333333333333,3150.0,8077.5,84.66968615,68.96674208333333
2022-03,Kitui,284046,0.08333333333333333,3150.0,8077.5,68.88853626666666,117.04654736111111
2022-03,Kwale,130023,0.05000000000000001,3150.0,8077.5,99.91800935555555,74.86541555555556
2022-03,Laikipia,77784,0.049999999999999996,3150.0,8077.5,104.97664016666667,101.58380433333335
2022-03,Lamu,21588,0.05000000000000001,3150.0,8077.5,60.03448272222222,82.42140605555556
2022-03,Makueni,98765,0.03333333333333333,3330.0,8077.5,83.97730331666666,121.8710058888889
2022-03,Mandera,477101,0.18333333333333335,4140.0,8088.75,26.922538983333332,88.71690177777778
2022-03,Marsabit,321850,0.2333333333333333,80.0,125.0,38.496923699999996,68.28649899999999
2022-03,Meru,191221,0.08333333333333333,3150.0,8077.5,105.02876712777777,91.76788613888888
2022-03,Narok,173681,0.05000000000000001,3150.0,8077.5,125.71649265277776,112.63875708333333
2022-03,Nyeri,19890,0.03333333333333333,2997.0,8077.5,72.17096444444445,68.32584433333334
2022-03,Samburu,139647,0.15,3150.0,8077.5,50.889376294444446,93.22127794444444
2022-03,Taita Taveta,34067,0.03333333333333333,3150.0,8077.5,46.49970252222222,81.7874065
2022-03,Tana River,63188,0.06666666666666667,3150.0,8077.5,47.53990044444444,73.41482555555555
2022-03,Tharaka-Nithi,20039,0.049999999999999996,3150.0,8077.5,100.90058946388888,97.37963191666667
2022-03,Turkana,463488,0.16666666666666666,3150.0,8077.5,57.56455611111111,77.84925255555555
2022-03,Wajir,468758,0.20000000000000004,3150.0,8077.5,25.357454,92.54872633333333
2022-03,West Pokot,62124,0.03333333333333333,2898.0,7018.875,146.76058308333333,102.68744166666667
2022-07,Baringo,139670,0.13333333333333333,5850.0,9187.5,184.792230125,122.51782580555556
2022-07,Embu,40854,0.05000000000000001,5850.0,9562.5,114.86526695277777,106.61702869444446
2022-07,Garissa,378609,0.15,7313.0,9562.5,65.68231526111111,84.94026677777778
2022-07,Isiolo,134001,0.16666666666666666,5850.0,9562.5,28.278380778888888,96.03484755555556
2022-07,Kajiado,55892,0.016666666666666666,5850.0,8496.0,61.41549728333334,120.76865077777776
2022-07,Kilifi,72689,0.016666666666666666,5850.0,9562.5,84.66968615,68.96674208333333
2022-07,Kitui,284046,0.08333333333333333,5850.0,9562.5,68.88853626666666,117.04654736111111
2022-07,Kwale,86682,0.03333333333333333,5850.0,9562.5,99.91800935555555,74.86541555555556
2022-07,Laikipia,129640,0.08333333333333333,5850.0,9562.5,104.97664016666667,101.58380433333335
2022-07,Lamu,14392,0.03333333333333333,5850.0,9562.5,60.03448272222222,82.42140605555556
2022-07,Makueni,197531,0.06666666666666667,5985.0,9562.5,83.97730331666666,121.8710058888889
2022-07,Mandera,390356,0.15,5640.0,11340.0,26.922538983333332,88.71690177777778
2022-07,Marsabit,206904,0.15,5850.0,9562.5,29.235936666666664,98.69087122222223
2022-07,Meru,152977,0.06666666666666667,5850.0,9562.5,105.02876712777777,91.76788613888888
2022-07,Narok,57894,0.016666666666666666,5850.0,9562.5,125.71649265277776,112.63875708333333
2022-07,Nyeri,29835,0.049999999999999996,5850.0,9562.5,88.7962498888889,72.24078200000001
2022-07,Samburu,139647,0.15,5850.0,9562.5,50.889376294444446,93.22127794444444
2022-07,Taita Taveta,34067,0.03333333333333333,5850.0,9562.5,46.49970252222222,81.7874065
2022-07,Tana River,94783,0.09999999999999999,5850.0,9562.5,76.10601255555555,122.43786166666668
2022-07,Tharaka-Nithi,26719,0.06666666666666667,5850.0,9562.5,100.90058946388888,97.37963191666667
2022-07,Turkana,463488,0.16666666666666666,5850.0,9562.5,71.89784922222222,80.19978477777778
2022-07,Wajir,351568,0.15,5850.0,9562.5,33.684435533333335,95.7741811111111
2022-07,West Pokot,31062,0.016666666666666666,5502.0,9577.5,146.76058308333333,102.68744166666667
2022-10,Baringo,139669,0.13333333333333333,6225.0,9731.25,184.792230125,122.51782580555556
