location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,3.0632277,4.0275126,89.318375,4982,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,17.401245,15.775257,107.82655,4982,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,184.943,164.70335,111.92648,4982,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,3.1543558,5.8097754,75.43502,4982,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,10.131072,15.486659,73.85817,4982,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,176.15096,128.04678,136.15584,4982,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,6.739261,5.1740265,115.38461,4982,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,12.956844,15.011313,89.73346,4982,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,133.78604,98.42662,134.18793,4982,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,4.0660377,14.794039,45.80186,4982,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,13.959654,25.77784,61.60164,4982,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,120.29587,88.69319,133.72997,4982,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,4.0985546,17.059153,41.246166,4982,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,14.903853,37.027218,47.35944,4982,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,101.10137,85.53686,117.19136,4982,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,13.548976,24.271069,63.369663,4982,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,21.71357,56.12426,43.703712,4982,final,2022-03-21,2022-03-31
